timestamp_iso,timestamp_bkk,category,candidate,rank,vote_percentage
2026-09-08T21:52:05.524005+07:00,2026-09-08 21:52:05,best-actress,จินนี่ - ณัฐณิชา ประทีปนาฏศิริ,5,2.6
2026-09-08T21:52:05.524005+07:00,2026-09-08 21:52:05,best-actress,หลิงหลิง - ศิริลักษณ์ คอง,6,1.8
2026-09-08T21:52:05.524005+07:00,2026-09-08 21:52:05,best-series,เสน่หาวาโย,1,46.2
2026-09-08T21:52:05.524005+07:00,2026-09-08 21:52:05,best-series,ด้วงกับเธอ Duang With You Series,2,40.8
2026-09-08T21:52:05.524005+07:00,2026-09-08 21:52:05,best-series,คุณแฟนบ้านนอก Hometown Romance,3,10.8
2026-09-08T21:52:05.524005+07:00,2026-09-08 21:52:05,best-series,เขมจิราต้องรอด,4,1.5
2026-09-08T21:52:05.524005+07:00,2026-09-08 21:52:05,best-series,สิงสาลาตาย Goddess bless you from death,5,0.7
2026-09-08T22:53:43.180900+07:00,2026-09-08 22:53:43,best-actress,ซอนญ่า ศรัณย์ภัทร์ พีเดอร์เซน,1,41.0
2026-09-08T22:53:43.180900+07:00,2026-09-08 22:53:43,best-actress,เบคกี้ - รีเบคก้า แพทรีเซีย อาร์มสตรอง,2,39.2
2026-09-08T22:53:43.180900+07:00,2026-09-08 22:53:43,best-actress,เมเบิ้ล - สิริวลี สิริวิบูลย์,3,10.3
2026-09-08T22:53:43.180900+07:00,2026-09-08 22:53:43,best-actress,ฝ้าย - พีรญา มะลิซ้อน,4,5.2
2026-09-08T22:53:43.180900+07:00,2026-09-08 22:53:43,best-actress,จินนี่ - ณัฐณิชา ประทีปนาฏศิริ,5,2.6
2026-09-08T22:53:43.180900+07:00,2026-09-08 22:53:43,best-actress,หลิงหลิง - ศิริลักษณ์ คอง,6,1.7
2026-09-08T22:53:43.180900+07:00,2026-09-08 22:53:43,best-series,เสน่หาวาโย,1,46.2
2026-09-08T22:53:43.180900+07:00,2026-09-08 22:53:43,best-series,ด้วงกับเธอ Duang With You Series,2,40.8
2026-09-08T22:53:43.180900+07:00,2026-09-08 22:53:43,best-series,คุณแฟนบ้านนอก Hometown Romance,3,10.7
2026-09-08T22:53:43.180900+07:00,2026-09-08 22:53:43,best-series,เขมจิราต้องรอด,4,1.5
2026-09-08T22:53:43.180900+07:00,2026-09-08 22:53:43,best-series,สิงสาลาตาย Goddess bless you from death,5,0.8
2026-09-08T23:54:56.090361+07:00,2026-09-08 23:54:56,best-actress,ซอนญ่า ศรัณย์ภัทร์ พีเดอร์เซน,1,41.0
2026-09-08T23:54:56.090361+07:00,2026-09-08 23:54:56,best-actress,เบคกี้ - รีเบคก้า แพทรีเซีย อาร์มสตรอง,2,39.2
2026-09-08T23:54:56.090361+07:00,2026-09-08 23:54:56,best-actress,เมเบิ้ล - สิริวลี สิริวิบูลย์,3,10.3
